Date,Economic and Social Analysis ,Urban Planning Policy and Governance ,FeeWeighted Infrastructure Planning and Delivery ,Analytics
2015-01-06,681599.6406,2052285.569,1850797.239,40106.57145
2015-01-12,685518.0985,2052145.309,1850670.749,40454.86339
2015-01-12,689976.7098,2052005.049,1855049.725,40848.53676
2015-01-12,689929.548,2051864.789,1867311.985,41273.69801
2015-01-13,689882.3862,2114731.418,1867184.341,42157.32534
2015-01-23,689835.2245,2114586.85,1867056.696,42476.69902
2015-01-27,689788.0627,2138771.306,1866929.052,43018.96953
2015-01-28,689740.9009,2169936.051,1866801.407,43629.03101
2015-01-29,689693.7391,2169787.679,1866673.762,43952.20901
2015-01-29,689646.5774,2169639.308,1866546.118,44275.38702
2015-01-29,689599.4156,2224323.436,1866418.473,45116.06503
2015-01-29,723184.5162,2224171.314,1866290.829,45762.73071
2015-01-31,723135.0541,2224019.193,1866163.184,46091.95898
2015-02-03,723085.5921,2224302.868,1866035.54,46425.39051
2015-02-04,723036.13,2224150.716,1879228.498,46884.04562
2015-02-04,722986.668,2223998.565,1879099.942,47214.21496
2015-02-05,722937.206,2266105.072,1878971.387,47960.72576
2015-02-05,722887.7439,2265950.029,1887754.416,48382.20099
2015-02-06,741155.2873,2265794.986,1887625.251,48898.86592
2015-02-09,741104.5719,2268461.559,1887496.085,49262.1738
2015-02-09,741053.8564,2312547.222,1887366.92,50045.39172
2015-02-09,750481.4828,2321867.301,1887237.754,50576.85265
2015-02-16,750430.1187,2409488.159,1887108.588,51817.52429
2015-02-16,750378.7545,2449285.188,1886979.423,52576.02492
2015-02-16,750327.3904,2456132.539,1886850.257,52997.20347
2015-02-18,750276.0262,2515472.45,1946229.139,54592.49504
2015-02-18,750224.6621,2606060.746,1946095.9,55906.25232
2015-02-18,750173.2979,2605981.272,1945962.66,56270.33007
2015-02-19,750121.9338,2605802.841,1957054.514,56753.27096
2015-02-24,750070.5697,2616841.543,1968137.638,57358.26959
2015-02-27,750019.2055,2627791.917,1968002.862,57844.03572
2015-03-02,749967.8414,2627611.956,2048848.239,59091.98396
