cat,year,month,sum,cumulative
analytics,2015,1,559164.05,559164.05
analytics,2015,2,931765.28,1490929.33
analytics,2015,3,1565757.21,3056686.54
analytics,2015,4,1255797.58,4312484.12
analytics,2015,5,2356250.99,6668735.11
analytics,2015,6,5054097.64,11722832.75
analytics,2015,7,3853133.5,15575966.25
analytics,2015,8,4897602.45,20473568.7
analytics,2015,9,6392269,26865837.7
analytics,2015,10,7808487.16,34674324.86
analytics,2015,11,8222491.36,42896816.22
analytics,2015,12,4304780.38,47201596.6
analytics,2016,1,5599557.07,52801153.67
analytics,2016,2,9814072.72,62615226.39
analytics,2016,3,10381505.94,72996732.33
analytics,2016,4,11722014.53,84718746.86
analytics,2016,5,25151884.09,109870631
analytics,2016,6,14472868.29,124343499.2
analytics,2016,7,16476058.81,140819558.1
analytics,2016,8,21132241.52,161951799.6
analytics,2016,9,17063623.26,179015422.8
analytics,2016,10,18214420.04,197229842.9
analytics,2016,11,22264571.22,219494414.1
analytics,2016,12,18920197.15,238414611.2
analytics,2017,1,16738048.39,255152659.6
analytics,2017,2,23958631.49,279111291.1
analytics,2017,3,32418309.39,311529600.5
analytics,2017,4,37650618.75,349180219.3
analytics,2017,5,52030802.99,401211022.3
analytics,2017,6,55126106.15,456337128.4
analytics,2017,7,49258734.82,505595863.2
analytics,2017,8,49140269.57,554736132.8
analytics,2017,9,35837154.55,590573287.3
analytics,2017,10,59026125.92,649599413.3
analytics,2017,11,62579804.2,712179217.5
analytics,2017,12,40710874.07,752890091.5
analytics,2018,1,44726928.49,797617020
analytics,2018,2,34781501.47,832398521.5
analytics,2018,3,62559092.66,894957614.2
analytics,2018,4,55664298.6,950621912.8
analytics,2018,5,57794392.33,1008416305
analytics,2018,6,60175501.47,1068591807
analytics,2018,7,36644030.86,1105235837
analytics,2018,8,37291291.67,1142527129
analytics,2018,9,35293848.78,1177820978
analytics,2018,10,51465733.35,1229286711
analytics,2018,11,40539440.35,1269826152
analytics,2018,12,35218214.02,1305044366
analytics,2019,1,33349410.72,1338393776
analytics,2019,2,68933597.19,1407327373
analytics,2019,3,62228867.12,1469556241
analytics,2019,4,54932036.79,1524488277
analytics,2019,5,36312763.32,1560801041
analytics,2019,6,57321936.1,1618122977
analytics,2019,7,46005361.82,1664128339
analytics,2019,8,38265199.03,1702393538
analytics,2019,9,34563205.97,1736956744
analytics,2019,10,43715307.82,1780672051
analytics,2019,11,35496544.34,1816168596
analytics,2019,12,31826509.37,1847995105
analytics,2020,1,13761058.13,1861756163
analytics,2020,2,51339541.26,1913095705
analytics,2020,3,57797084.24,1970892789
analytics,2020,4,24612550.92,1995505340
analytics,2020,5,59768858.27,2055274198
analytics,2020,6,76285161.12,2131559359
analytics,2020,7,67611339.85,2199170699
analytics,2020,8,47501797.25,2246672496
analytics,2020,9,64304990.47,2310977487
analytics,2020,10,37991572.2,2348969059
economic,2015,1,9021529.87,9021529.87
economic,2015,2,13340750.5,22362280.37
economic,2015,3,19875675.65,42237956.02
economic,2015,4,16547095.22,58785051.24
economic,2015,5,27820518.3,86605569.54
economic,2015,6,46853207.08,133458776.6
economic,2015,7,31492494.68,164951271.3
economic,2015,8,35397404.11,200348675.4
economic,2015,9,41304276.91,241652952.3
economic,2015,10,46744160.93,288397113.3
economic,2015,11,48708383.77,337105497
economic,2015,12,25236328.8,362341825.8
economic,2016,1,31417435.91,393759261.7
economic,2016,2,50934641.02,444693902.8
economic,2016,3,51948814.56,496642717.3
economic,2016,4,57719826.5,554362543.8
economic,2016,5,127753699.7,682116243.5
economic,2016,6,71480042.92,753596286.4
economic,2016,7,81204898.25,834801184.7
economic,2016,8,101896792.1,936697976.8
economic,2016,9,80813834.76,1017511812
economic,2016,10,87939928.46,1105451740
economic,2016,11,106721480.2,1212173220
economic,2016,12,89359678.34,1301532899
economic,2017,1,78836489.22,1380369388
economic,2017,2,110073229.6,1490442617
economic,2017,3,146849444.9,1637292062
economic,2017,4,170954271.5,1808246334
economic,2017,5,232568286.2,2040814620
economic,2017,6,239401426.6,2280216047
economic,2017,7,207451307.2,2487667354
economic,2017,8,202520793,2690188147
economic,2017,9,145430997.7,2835619144
economic,2017,10,234288562.2,3069907707
economic,2017,11,241387758.2,3311295465
economic,2017,12,153529205.1,3464824670
economic,2018,1,164813750.4,3629638420
economic,2018,2,124228917.2,3753867338
economic,2018,3,220636371.7,3974503709
economic,2018,4,193914028,4168417737
economic,2018,5,199248373.6,4367666111
economic,2018,6,209549570.1,4577215681
economic,2018,7,125767018,4702982699
economic,2018,8,126617262,4829599961
economic,2018,9,118337461.2,4947937422
economic,2018,10,169360310.7,5117297733
economic,2018,11,130999108.8,5248296842
economic,2018,12,111655305.6,5359952147
economic,2019,1,101632629.3,5461584777
economic,2019,2,203829288,5665414065
economic,2019,3,177194004.2,5842608069
economic,2019,4,147165550.7,5989773619
economic,2019,5,95514494.36,6085288114
economic,2019,6,149515993.2,6234804107
economic,2019,7,118709567.3,6353513674
economic,2019,8,98348753.71,6451862428
economic,2019,9,88304109.95,6540166538
economic,2019,10,111272457,6651438995
economic,2019,11,90048855.97,6741487851
economic,2019,12,79566010.01,6821053861
economic,2020,1,34269158.49,6855323019
economic,2020,2,126855010.4,6982178030
economic,2020,3,139767128,7121945158
economic,2020,4,59070699.67,7181015858
economic,2020,5,142747476.5,7323763334
economic,2020,6,183055815,7506819149
economic,2020,7,160864548.8,7667683698
economic,2020,8,112877360.5,7780561058
economic,2020,9,153833540.9,7934394599
economic,2020,10,90664911.73,8025059511
fee,2015,1,24223893.56,24223893.56
fee,2015,2,34333236.77,58557130.33
fee,2015,3,51840943.7,110398074
fee,2015,4,35944649.05,146342723.1
fee,2015,5,58185068.18,204527791.3
fee,2015,6,97052501.27,301580292.5
fee,2015,7,66972873.27,368553165.8
fee,2015,8,78273387.89,446826553.7
fee,2015,9,94174916.66,541001470.4
fee,2015,10,108192632.2,649194102.6
fee,2015,11,101947174,751141276.6
fee,2015,12,49536144.63,800677421.2
fee,2016,1,63190108.08,863867529.3
fee,2016,2,102832788.6,966700317.9
fee,2016,3,100869008.1,1067569326
fee,2016,4,102916217.7,1170485544
fee,2016,5,197984356.3,1368469900
fee,2016,6,103573195.7,1472043096
fee,2016,7,114403423.9,1586446520
fee,2016,8,137313944.5,1723760464
fee,2016,9,104218723.2,1827979187
fee,2016,10,104838668.1,1932817855
fee,2016,11,122151820.7,2054969676
fee,2016,12,99424896.12,2154394572
fee,2017,1,84495721.93,2238890294
fee,2017,2,118300493.1,2357190787
fee,2017,3,152730474.3,2509921262
fee,2017,4,166556396.3,2676477658
fee,2017,5,217478231.3,2893955889
fee,2017,6,219183105.2,3113138994
fee,2017,7,188714068.3,3301853063
fee,2017,8,182188725,3484041788
fee,2017,9,131104821.1,3615146609
fee,2017,10,212594102.5,3827740711
fee,2017,11,221153542.6,4048894254
fee,2017,12,138939293.2,4187833547
fee,2018,1,151228270.3,4339061817
fee,2018,2,115130911.1,4454192728
fee,2018,3,202165644.7,4656358373
fee,2018,4,172432521.2,4828790894
fee,2018,5,172993063.9,5001783958
fee,2018,6,174259678.9,5176043637
fee,2018,7,103965360.1,5280008997
fee,2018,8,104512486.9,5384521484
fee,2018,9,99334569.51,5483856054
fee,2018,10,142876694.5,5626732748
fee,2018,11,110343889.4,5737076638
fee,2018,12,94941069.9,5832017707
fee,2019,1,89419384.15,5921437092
fee,2019,2,181082240.9,6102519332
fee,2019,3,157725085.1,6260244418
fee,2019,4,132126388.1,6392370806
fee,2019,5,85116240.25,6477487046
fee,2019,6,132996967.8,6610484014
fee,2019,7,105875163,6716359177
fee,2019,8,87157197.08,6803516374
fee,2019,9,78345907.42,6881862281
fee,2019,10,99039099.08,6980901380
fee,2019,11,80183926.05,7061085306
fee,2019,12,71038875.41,7132124182
fee,2020,1,30550817.06,7162674999
fee,2020,2,112594399,7275269398
fee,2020,3,124277885.9,7399547284
fee,2020,4,52509100.24,7452056384
fee,2020,5,127301274.4,7579357658
fee,2020,6,161089155,7740446813
fee,2020,7,140521388.5,7880968202
fee,2020,8,97709679.75,7978677882
fee,2020,9,130957555.1,8109635437
fee,2020,10,76442408.13,8186077845
urban,2015,1,27758267.28,27758267.28
urban,2015,2,43266034.98,71024302.26
urban,2015,3,62408826.62,133433128.9
urban,2015,4,44302636.18,177735765.1
urban,2015,5,78299993.21,256035758.3
urban,2015,6,162128857.2,418164615.5
urban,2015,7,107819592.4,525984207.9
urban,2015,8,125907319.4,651891527.3
urban,2015,9,150100559.1,801992086.4
urban,2015,10,164029579.1,966021665.5
urban,2015,11,159523806.1,1125545472
urban,2015,12,79368952.44,1204914424
urban,2016,1,98692232.35,1303606656
urban,2016,2,168553935.8,1472160592
urban,2016,3,169479883.2,1641640475
urban,2016,4,184634021.3,1826274497
urban,2016,5,364010324.2,2190284821
urban,2016,6,196721134.6,2387005955
urban,2016,7,209684180.9,2596690136
urban,2016,8,257254544.5,2853944681
urban,2016,9,199560442.4,3053505123
urban,2016,10,203839092.8,3257344216
urban,2016,11,238940349.1,3496284565
urban,2016,12,195804203,3692088768
urban,2017,1,168132765.4,3860221534
urban,2017,2,233066198.2,4093287732
urban,2017,3,302927473.7,4396215205
urban,2017,4,334945339.3,4731160545
urban,2017,5,438298267.7,5169458812
urban,2017,6,438931567.6,5608390380
urban,2017,7,373286075.3,5981676455
urban,2017,8,356180940,6337857395
urban,2017,9,248822013.1,6586679408
urban,2017,10,394052169.3,6980731578
urban,2017,11,399378031.7,7380109609
urban,2017,12,253609175.5,7633718785
