cat,year,month,sum,cumulative
analytics,2015,1,559164.05,559164.05
analytics,2015,2,931765.28,1490929.33
analytics,2015,3,1565757.21,3056686.54
analytics,2015,4,1255797.58,4312484.12
analytics,2015,5,2356250.99,6668735.11
analytics,2015,6,5054097.64,11722832.75
analytics,2015,7,3853133.5,15575966.25
analytics,2015,8,4897602.45,20473568.7
analytics,2015,9,6392269,26865837.7
analytics,2015,10,7808487.16,34674324.86
analytics,2015,11,8222491.36,42896816.22
analytics,2015,12,4304780.38,47201596.6
analytics,2016,1,5599557.07,52801153.67
analytics,2016,2,9814072.72,62615226.39
analytics,2016,3,10381505.94,72996732.33
analytics,2016,4,11722014.53,84718746.86
analytics,2016,5,25151884.09,109870631
analytics,2016,6,14472868.29,124343499.2
analytics,2016,7,16476058.81,140819558.1
analytics,2016,8,21132241.52,161951799.6
analytics,2016,9,17063623.26,179015422.8
analytics,2016,10,18214420.04,197229842.9
analytics,2016,11,22264571.22,219494414.1
analytics,2016,12,18920197.15,238414611.2
analytics,2017,1,16738048.39,255152659.6
analytics,2017,2,23958631.49,279111291.1
analytics,2017,3,32418309.39,311529600.5
analytics,2017,4,37650618.75,349180219.3
analytics,2017,5,52030802.99,401211022.3
analytics,2017,6,55126106.15,456337128.4
analytics,2017,7,49258734.82,505595863.2
analytics,2017,8,49140269.57,554736132.8
analytics,2017,9,35837154.55,590573287.3
analytics,2017,10,59026125.92,649599413.3
analytics,2017,11,62579804.2,712179217.5
analytics,2017,12,40710874.07,752890091.5
analytics,2018,1,44726928.49,797617020
analytics,2018,2,34781501.47,832398521.5
analytics,2018,3,62559092.66,894957614.2
analytics,2018,4,55664298.6,950621912.8
analytics,2018,5,57794392.33,1008416305
analytics,2018,6,60175501.47,1068591807
analytics,2018,7,36644030.86,1105235837
analytics,2018,8,37291291.67,1142527129
analytics,2018,9,35293848.78,1177820978
analytics,2018,10,51465733.35,1229286711
analytics,2018,11,40539440.35,1269826152
analytics,2018,12,35218214.02,1305044366
analytics,2019,1,33349410.72,1338393776
analytics,2019,2,68933597.19,1407327373
analytics,2019,3,62228867.12,1469556241
analytics,2019,4,54932036.79,1524488277
analytics,2019,5,36312763.32,1560801041
analytics,2019,6,57321936.1,1618122977
analytics,2019,7,46005361.82,1664128339
analytics,2019,8,38265199.03,1702393538
analytics,2019,9,34563205.97,1736956744
analytics,2019,10,43715307.82,1780672051
analytics,2019,11,35496544.34,1816168596
analytics,2019,12,31826509.37,1847995105
analytics,2020,1,13761058.13,1861756163
analytics,2020,2,51339541.26,1913095705
analytics,2020,3,57797084.24,1970892789
analytics,2020,4,24612550.92,1995505340
analytics,2020,5,59768858.27,2055274198
analytics,2020,6,76285161.12,2131559359
analytics,2020,7,67611339.85,2199170699
analytics,2020,8,47501797.25,2246672496
analytics,2020,9,64304990.47,2310977487
analytics,2020,10,37991572.2,2348969059
