date,economic,urban,fee,analytic
2015-01-06,681599.6406,2052285.569,1850797.239,40106.57145
2015-01-12,2065424.356,6156015.147,5573032.459,122577.0982
2015-01-13,689882.3862,2114731.418,1867184.341,42157.32534
2015-01-23,689835.2245,2114586.85,1867056.696,42476.69902
2015-01-27,689788.0627,2138771.306,1866929.052,43018.96953
2015-01-28,689740.9009,2169936.051,1866801.407,43629.03101
2015-01-29,2792124.248,8787921.737,7465929.182,179106.3918
2015-01-31,723135.0541,2224019.193,1866163.184,46091.95898
2015-02-03,723085.5921,2224302.868,1866035.54,46425.39051
2015-02-04,1446022.798,4448149.281,3758328.44,94098.26058
2015-02-05,1445824.95,4532055.101,3766725.803,96342.92675
2015-02-06,741155.2873,2265794.986,1887625.251,48898.86592
2015-02-09,2232639.911,6902876.082,5662100.759,149884.4182
2015-02-16,2251136.264,7314905.886,5660938.268,157390.7527
2015-02-18,2250673.986,7727514.468,5838287.699,166769.0774
2015-02-19,750121.9338,2605802.841,1957054.514,56753.27096
2015-02-24,750070.5697,2616841.543,1968137.638,57358.26959
2015-02-27,750019.2055,2627791.917,1968002.862,57844.03572
2015-03-02,749967.8414,2627611.956,2048848.239,59091.98396
2015-03-03,749916.4772,2627431.995,2068491.114,59680.43382
2015-03-05,752238.9342,2629625.855,2068349.437,60105.79426
2015-03-09,1504323.288,5258711.338,4274732.514,122872.9002
2015-03-10,1504117.181,5257990.844,4408564.707,125904.8085
2015-03-11,1521040.053,5262980.008,4542369.27,129225.7083
2015-03-12,1537959.403,5323772.534,4587221.616,132212.377
2015-03-13,869867.1181,2689513.938,2293375.025,68195.23878
2015-03-16,892472.8333,2689329.598,2293217.837,68862.05127
2015-03-17,922377.3481,2719110.948,2293060.649,69971.375
2015-03-18,922314.1196,2746124.694,2292903.461,70700.77559
2015-03-19,922250.8911,2745936.435,2332991.181,71589.54205
2015-03-20,922187.6626,2768179.037,2332831.234,72270.11577
2015-03-23,939415.762,2785280.569,2332671.287,73100.43203
2015-03-25,1007127.174,2852865.413,2332511.34,75161.02277
2015-03-26,2049071.742,5705143.938,4664542.837,152025.9317
2015-03-27,2109027.838,5719217.497,4674261.942,154786.7246
2015-04-02,1070577.455,2870307.3,2342069.786,78439.95928
2015-04-06,1070504.017,2896587.107,2368385.829,79535.72632
2015-04-07,1101460.158,2927417.976,2399252.933,81145.45255
2015-04-15,1101384.591,2927217.138,2399088.33,81586.46045
2015-04-16,1101309.025,2927016.3,2403411.008,82084.73706
2015-04-17,1101233.458,2947475.355,2403246.097,82791.15956
2015-04-22,4404178.164,11861208.61,9611335.282,336548.2291
2015-04-27,2201635.682,5941604.003,4806528.658,171122.7969
2015-04-28,1131681.912,3001473.523,2403942.077,87065.55797
2015-04-30,2263130.745,6002328.864,4807389.04,175477.4905
2015-05-01,1153809.352,3000855.342,2403446.963,88714.41299
2015-05-04,1153730.123,3019382.565,2403281.925,89419.45704
2015-05-05,1153650.894,3075401.789,2403116.888,90639.49898
2015-05-06,2307064.102,6215111.842,4805738.662,183541.5346
2015-05-07,5769202.5,15963869.75,12014387.24,472967.6639
2015-05-08,2307907.063,6434419.202,4805380.295,193174.4794
2015-05-13,1153834.588,3258776.954,2402442.49,97886.48839
2015-05-19,2320872.721,6552009.72,4826075.912,198195.4273
2015-05-20,1167037.209,3282387.601,2452017.528,100570.9222
2015-05-21,2333833.758,6790148.954,4903529.415,205883.393
2015-05-22,2333512.88,6824887.22,4902855.228,208340.1929
2015-05-26,1166636.11,3464246.086,2451174.794,105673.2701
2015-05-27,1166555.89,3468934.031,2451006.247,106234.0919
2015-05-28,1166475.67,3468695.485,2480392.579,107166.5262
2015-05-29,1166395.451,3480866.671,2480221.999,107843.6387
2015-06-03,2332550.242,7910345.704,4991457.451,232102.7122
2015-06-04,2332229.363,7936162.938,5027217.938,235171.5605
2015-06-05,2352045.361,8112498.586,5031450.05,240418.8033
2015-06-10,2391351.348,8148970.552,5030757.705,243759.1956
2015-06-11,1224226.846,4130848.255,2515119.223,124029.6263
2015-06-12,2451780.394,8359282.022,5029719.186,251302.6585
2015-06-16,12271730.71,43236412.58,25162805.93,1313715.63
2015-06-17,1235068.981,4358549.481,2517787.12,135208.7168
2015-06-18,1234983.91,4358249.264,2532366.744,136014.3818
2015-06-19,1243995.925,4357949.048,2541289.389,136879.9383
2015-06-22,1243910.227,4363180.462,2541114.321,137534.2905
2015-06-23,1243824.528,4362879.864,2555689.253,138345.655
2015-06-24,2516519.198,8724857.934,5150179.521,279546.9481
2015-06-25,1272692.662,4363944.33,2574823.601,140903.7067
2015-06-26,1272604.957,4363643.596,2574646.162,141469.585
2015-06-28,1272517.251,4363342.863,2590196.636,142307.5501
2015-06-29,3825870.644,13088224.19,8000914.721,434515.8487
2015-06-30,5135304.528,17589515.54,10684966.32,590870.8142
2015-07-01,2573016.072,8826161.55,5341378.087,299587.8905
2015-07-02,2572661.186,8824944.19,5376985.68,302552.5441
2015-07-03,1286197.511,4412015.585,2690670.23,152188.4745
2015-07-06,2602070.019,8823118.15,5410724.816,307205.6145
2015-07-07,2601711.001,8821900.792,5502526.541,311230.2663
2015-07-10,1300720.869,4410493.886,2768651.7,156817.845
2015-07-13,3950290.54,13354054.44,8304808.82,477194.0958
2015-07-14,1324692.563,4531231.779,2767887.513,161904.8057
2015-07-15,1324601.129,4530919.021,2850147.715,164053.7949
2015-07-17,1324509.695,4548272.117,2867616.83,165323.0173
2015-07-20,2648745.089,9183726.057,5734639.787,334132.3872
2015-07-21,1324235.394,4592859.4,2867611.697,168015.1694
2015-07-22,1324143.96,4592542.28,2878563.307,168835.7529
2015-07-23,1324052.526,4592225.159,2900513.258,169869.8069
2015-07-25,1333771.391,4591908.038,2900312.96,170668.3611
2015-07-27,1338584.09,4591590.917,2905017.473,171468.2704
2015-07-28,1338491.639,4591628.979,2904816.836,172085.3959
2015-08-03,4014920.217,13904655.17,8713246.688,522503.2844
2015-08-05,1338121.839,4692771.567,2904014.29,176549.9241
2015-08-06,4013810.817,14126861.33,8739076.123,534924.5856
2015-08-10,2675411.628,9522606.53,5847399.165,362293.9167
2015-08-11,1337567.139,4896173.331,2923396.493,184813.6573
2015-08-12,1337474.689,4895834.917,2923194.434,185446.5807
2015-08-14,1362080.288,4895496.503,2922992.374,186581.4554
2015-08-18,2754094.395,9789977.764,5849354.926,375765.6165
2015-08-20,1378892.504,4894481.261,2961893.83,189647.6855
2015-08-24,4137868.889,14681413.3,9328975.36,582001.992
2015-08-25,1381229.556,4894082.722,3109228.378,195362.5242
2015-08-26,2762172.53,9811612.305,6253146.851,393924.2139
2015-08-27,1380942.974,4943363.682,3152084.827,199282.1673
2015-08-28,2761599.366,9977726.376,6303515.513,402476.0458
2015-08-29,1380656.392,4990303.943,3169575.272,202653.0431
2015-08-31,1380560.865,4989958.665,3172293.369,203375.7523
2015-09-01,2774493.612,9983341.571,6343928.221,409120.6568
2015-09-03,2774109.612,10074592.72,6343050.199,413762.2928
2015-09-04,2796481.786,10178063.68,6342172.177,419190.1828
2015-09-07,4193996.772,15428848.92,9511611.974,637393.5629
2015-09-08,2795513.91,10339399.5,6460123.357,432160.0568
2015-09-10,2854483.93,10394220.41,6459228.696,437438.7877
2015-09-14,1431825.831,5196570.318,3229278.85,219848.4104
2015-09-15,2876555.588,10392060.87,6471088.143,442337.6813
2015-09-16,4333886.274,15586708.1,9724751.396,669556.8376
2015-09-18,1444428.588,5195068.824,3246414.639,224679.8193
2015-09-22,2888556.919,10428193.74,6629028.028,455434.9532
2015-09-24,1448864.681,5233122.204,3314169.482,229310.9541
2015-09-25,1448764.267,5242656.779,3313939.793,230231.4804
2015-09-28,5794052.936,21113583.89,13400052.74,934679.7104
2015-09-30,1448262.2,5314127.546,3386078.955,237123.6187
2015-10-01,1448161.787,5323920.941,3385844.185,238065.4068
2015-10-02,1466014.346,5323551.788,3385609.416,239191.7697
2015-10-06,4397433.089,16074824.53,10391366.2,729918.1415
2015-10-07,1480148.078,5357531.62,3603202.755,248402.7663
2015-10-08,2959988.155,10734482.31,7205655.729,499469.2508
2015-10-10,1479840.077,5409264.211,3602452.973,251843.9581
2015-10-12,6251002.788,21654074.57,14440597.46,1024009.98
2015-10-13,4689456.423,16324142.3,10836138.14,778118.2241
2015-10-14,3125761.822,10993595.75,7222838.607,525203.5422
2015-10-16,1562718.173,5507040.109,3611043.257,263979.8214
2015-10-20,3169313.664,11072747.95,7221334.423,532766.6783
2015-10-21,3168873.558,11086821.18,7299699.011,538118.97
2015-10-22,1616247.567,5542833.171,3699176.246,272229.3751
2015-10-23,3310193.623,11143109.05,7397581.777,550163.2681
2015-10-26,1654924.376,5600271.81,3722910.917,277579.2571
2015-10-27,1654809.419,5599882.794,3722652.31,278341.8375
2015-10-30,3309273.965,11281485.06,7444528.797,561084.8985
2015-11-01,1654464.547,5741490.042,3721876.488,284280.2832
2015-11-02,3357332.529,11497540.62,7491725.46,573786.6138
2015-11-03,1678491.288,5760801.945,3745472.278,288383.3487
2015-11-04,3374123.931,11529706.11,7490163.653,579793.0283
2015-11-05,1715904.097,5768903.515,3744691.375,291938.8726
2015-11-06,5246800.633,17304304.5,11276807.4,884272.4028
2015-11-09,3570539.786,11769194.06,7531328.961,601932.9941
2015-11-10,1817475.447,5886011.244,3797663.478,303924.6915
2015-11-11,5451668.007,17655577.82,11391405.87,916572.8855
2015-11-12,1816969.891,6005775.196,3796607.104,310366.6695
2015-11-16,3749355.197,12010589.25,7593298.392,626294.8774
2015-11-17,1874481.973,6057086.575,3796691.226,315789.086
2015-11-18,1874351.556,6069615.533,3796427.072,316954.699
2015-11-19,3813907.983,12137964.1,7592061.68,638138.9575
2015-11-20,1920080.318,6072262.678,3795634.609,320766.8761
2015-11-25,1930946.583,6082839.975,3795370.454,322187.4686
2015-11-27,1930812.19,6082416.614,3795106.3,323009.3754
2015-11-30,1930677.798,6091726.317,3794842.145,324098.2199
2015-12-01,1930543.406,6091302.279,3794577.991,324920.8042
2015-12-03,5822936.264,18275060.14,11391879.74,980957.2951
2015-12-08,1940708.48,6103008.755,3798386.211,329016.0347
2015-12-11,1940573.342,6102583.784,3798121.718,329840.6363
2015-12-14,3884298.185,12203892.66,7599006.869,662354.2526
2015-12-17,1943724.595,6115583.192,3800884.903,332914.791
2015-12-18,1943589.21,6115157.226,3838722.892,334813.1519
2015-12-21,1943453.824,6114731.261,3838455.497,335641.8973
2015-12-22,3886501.493,12247633.14,7676108.809,674321.5214
2016-01-03,1952345.84,6132900.52,3846951.483,339209.6377
2016-01-04,7812883.463,24579132.7,15504983.53,1370207.147
2016-01-07,3912915.167,12303176.26,7911873.419,695427.0387
2016-01-08,1963462.632,6158154.554,3985215.171,350249.9427
2016-01-13,1963325.758,6170407.945,3984937.359,351461.7375
2016-01-14,1963188.884,6169977.772,3984659.547,352306.5974
2016-01-20,1972768.811,6169547.599,3994098.537,353717.853
2016-01-22,1972631.26,6173657.284,3993820.047,354696.7087
2016-01-27,5919836.984,18614105.1,11985326.24,1072227.575
2016-01-29,1984077.119,6221172.623,3998242.735,360052.8226
2016-02-01,1983938.731,6220738.699,4056007.953,362620.7172
2016-02-02,3967462.296,12686414.52,8111167.133,735125.2557
2016-02-04,3966908.741,13226284.21,8129042.504,755304.9209
2016-02-06,1983246.788,6765008.534,4068950.545,383684.4126
2016-02-08,1983108.399,6766478.215,4068666.619,384637.0475
2016-02-10,1982970.011,6766006.025,4102935.872,386570.8725
2016-02-11,1982831.622,6765533.835,4105561.729,387555.5936
2016-02-15,1982693.233,6781747.359,4105275.188,388956.9996
2016-02-16,4038395.42,13562074.66,8209690.753,782836.1815
2016-02-17,4047221.259,13560181.24,8220189.71,787080.2526
2016-02-18,2023398.711,6779380.587,4114933.299,395053.632
2016-02-22,8379308.053,27428135.54,16524362.86,1609848.642
2016-02-23,2094461.284,6869706.264,4137934.56,405408.3421
2016-02-24,4200631.075,13751939.38,8288968.394,814807.0471
2016-02-26,4212190.744,13750018.12,8388178.9,821983.1373
2016-02-29,2105874.661,6874288.584,4200922.537,412599.6668
2016-03-01,12646697.14,41499896.13,25199371.21,2503753.215
2016-03-03,4224079.309,13895397.77,8398169.037,844404.7805
2016-03-04,2111818.182,7005015.709,4199007.595,425458.9638
2016-03-08,2139673.771,7004525.951,4198714.02,427286.7077
2016-03-15,6418123.675,21028017.04,12594380.61,1288018.024
2016-03-16,6649248.76,21112623.88,12591738.43,1306830.282
