cat,year,month,sum,cumulative
fee,2015,1,24223893.56,24223893.56
fee,2015,2,34333236.77,58557130.33
fee,2015,3,51840943.7,110398074
fee,2015,4,35944649.05,146342723.1
fee,2015,5,58185068.18,204527791.3
fee,2015,6,97052501.27,301580292.5
fee,2015,7,66972873.27,368553165.8
fee,2015,8,78273387.89,446826553.7
fee,2015,9,94174916.66,541001470.4
fee,2015,10,108192632.2,649194102.6
fee,2015,11,101947174,751141276.6
fee,2015,12,49536144.63,800677421.2
fee,2016,1,63190108.08,863867529.3
fee,2016,2,102832788.6,966700317.9
fee,2016,3,100869008.1,1067569326
fee,2016,4,102916217.7,1170485544
fee,2016,5,197984356.3,1368469900
fee,2016,6,103573195.7,1472043096
fee,2016,7,114403423.9,1586446520
fee,2016,8,137313944.5,1723760464
fee,2016,9,104218723.2,1827979187
fee,2016,10,104838668.1,1932817855
fee,2016,11,122151820.7,2054969676
fee,2016,12,99424896.12,2154394572
fee,2017,1,84495721.93,2238890294
fee,2017,2,118300493.1,2357190787
fee,2017,3,152730474.3,2509921262
fee,2017,4,166556396.3,2676477658
fee,2017,5,217478231.3,2893955889
fee,2017,6,219183105.2,3113138994
fee,2017,7,188714068.3,3301853063
fee,2017,8,182188725,3484041788
fee,2017,9,131104821.1,3615146609
fee,2017,10,212594102.5,3827740711
fee,2017,11,221153542.6,4048894254
fee,2017,12,138939293.2,4187833547
fee,2018,1,151228270.3,4339061817
fee,2018,2,115130911.1,4454192728
fee,2018,3,202165644.7,4656358373
fee,2018,4,172432521.2,4828790894
fee,2018,5,172993063.9,5001783958
fee,2018,6,174259678.9,5176043637
fee,2018,7,103965360.1,5280008997
fee,2018,8,104512486.9,5384521484
fee,2018,9,99334569.51,5483856054
fee,2018,10,142876694.5,5626732748
fee,2018,11,110343889.4,5737076638
fee,2018,12,94941069.9,5832017707
fee,2019,1,89419384.15,5921437092
fee,2019,2,181082240.9,6102519332
fee,2019,3,157725085.1,6260244418
fee,2019,4,132126388.1,6392370806
fee,2019,5,85116240.25,6477487046
fee,2019,6,132996967.8,6610484014
fee,2019,7,105875163,6716359177
fee,2019,8,87157197.08,6803516374
fee,2019,9,78345907.42,6881862281
fee,2019,10,99039099.08,6980901380
fee,2019,11,80183926.05,7061085306
fee,2019,12,71038875.41,7132124182
fee,2020,1,30550817.06,7162674999
fee,2020,2,112594399,7275269398
fee,2020,3,124277885.9,7399547284
fee,2020,4,52509100.24,7452056384
fee,2020,5,127301274.4,7579357658
fee,2020,6,161089155,7740446813
fee,2020,7,140521388.5,7880968202
fee,2020,8,97709679.75,7978677882
fee,2020,9,130957555.1,8109635437
fee,2020,10,76442408.13,8186077845
