,cat,year,month,sum
0,analytics,2015,01,559164.05
1,analytics,2015,02,931765.28
2,analytics,2015,03,1565757.21
3,analytics,2015,04,1255797.58
4,analytics,2015,05,2356250.9899999998
5,analytics,2015,06,5054097.639999999
6,analytics,2015,07,3853133.5
7,analytics,2015,08,4897602.45
8,analytics,2015,09,6392269.000000001
9,analytics,2015,10,7808487.16
10,analytics,2015,11,8222491.359999999
11,analytics,2015,12,4304780.38
12,analytics,2016,01,5599557.07
13,analytics,2016,02,9814072.72
14,analytics,2016,03,10381505.94
15,analytics,2016,04,11722014.530000001
16,analytics,2016,05,25151884.090000004
17,analytics,2016,06,14472868.290000001
18,analytics,2016,07,16476058.81
19,analytics,2016,08,21132241.52
20,analytics,2016,09,17063623.259999998
21,analytics,2016,10,18214420.04
22,analytics,2016,11,22264571.220000003
23,analytics,2016,12,18920197.15
24,analytics,2017,01,16738048.39
25,analytics,2017,02,23958631.489999995
26,analytics,2017,03,32418309.390000004
27,analytics,2017,04,37650618.74999999
28,analytics,2017,05,52030802.99
29,analytics,2017,06,55126106.15
30,analytics,2017,07,49258734.81999999
31,analytics,2017,08,49140269.57
32,analytics,2017,09,35837154.55
33,analytics,2017,10,59026125.919999994
34,analytics,2017,11,62579804.2
35,analytics,2017,12,40710874.07000001
36,analytics,2018,01,44726928.489999995
37,analytics,2018,02,34781501.47
38,analytics,2018,03,62559092.660000004
39,analytics,2018,04,55664298.6
40,analytics,2018,05,57794392.33
41,analytics,2018,06,60175501.47
42,analytics,2018,07,36644030.86
43,analytics,2018,08,37291291.67
44,analytics,2018,09,35293848.78
45,analytics,2018,10,51465733.35
46,analytics,2018,11,40539440.35
47,analytics,2018,12,35218214.02
48,analytics,2019,01,33349410.72
49,analytics,2019,02,68933597.19
50,analytics,2019,03,62228867.12
51,analytics,2019,04,54932036.79
52,analytics,2019,05,36312763.32
53,analytics,2019,06,57321936.1
54,analytics,2019,07,46005361.82000001
55,analytics,2019,08,38265199.03
56,analytics,2019,09,34563205.97
57,analytics,2019,10,43715307.82000001
58,analytics,2019,11,35496544.34
59,analytics,2019,12,31826509.369999997
60,analytics,2020,01,13761058.129999999
61,analytics,2020,02,51339541.25999999
62,analytics,2020,03,57797084.24
63,analytics,2020,04,24612550.919999998
64,analytics,2020,05,59768858.269999996
65,analytics,2020,06,76285161.12
66,analytics,2020,07,67611339.85
67,analytics,2020,08,47501797.25
68,analytics,2020,09,64304990.47
69,analytics,2020,10,37991572.2
70,economic,2015,01,9021529.870000001
71,economic,2015,02,13340750.5
72,economic,2015,03,19875675.65
73,economic,2015,04,16547095.219999999
74,economic,2015,05,27820518.3
75,economic,2015,06,46853207.08
76,economic,2015,07,31492494.68
77,economic,2015,08,35397404.11
78,economic,2015,09,41304276.910000004
79,economic,2015,10,46744160.93
80,economic,2015,11,48708383.769999996
81,economic,2015,12,25236328.800000004
82,economic,2016,01,31417435.910000004
83,economic,2016,02,50934641.019999996
