date,cat,count,text
6/01/2015,economic,681599.6406,Some text
12/01/2015,economic,2065424.356,Some text
13/01/2015,economic,689882.3862,Some text
23/01/2015,economic,689835.2245,Some text
27/01/2015,economic,689788.0627,Some text
28/01/2015,economic,689740.9009,Some text
29/01/2015,economic,2792124.248,Some text
31/01/2015,economic,723135.0541,Some text
3/02/2015,economic,723085.5921,Some text
4/02/2015,economic,1446022.798,Some text
5/02/2015,economic,1445824.95,Some text
6/02/2015,economic,741155.2873,Some text
9/02/2015,economic,2232639.911,Some text
16/02/2015,economic,2251136.264,Some text
18/02/2015,economic,2250673.986,Some text
19/02/2015,economic,750121.9338,Some text
24/02/2015,economic,750070.5697,Some text
27/02/2015,economic,750019.2055,Some text
2/03/2015,economic,749967.8414,Some text
3/03/2015,economic,749916.4772,Some text
5/03/2015,economic,752238.9342,Some text
9/03/2015,economic,1504323.288,Some text
10/03/2015,economic,1504117.181,Some text
11/03/2015,economic,1521040.053,Some text
12/03/2015,economic,1537959.403,Some text
13/03/2015,economic,869867.1181,Some text
16/03/2015,economic,892472.8333,Some text
17/03/2015,economic,922377.3481,Some text
18/03/2015,economic,922314.1196,Some text
19/03/2015,economic,922250.8911,Some text
20/03/2015,economic,922187.6626,Some text
23/03/2015,economic,939415.762,Some text
25/03/2015,economic,1007127.174,Some text
26/03/2015,economic,2049071.742,Some text
27/03/2015,economic,2109027.838,Some text
2/04/2015,economic,1070577.455,Some text
6/04/2015,economic,1070504.017,Some text
7/04/2015,economic,1101460.158,Some text
15/04/2015,economic,1101384.591,Some text
16/04/2015,economic,1101309.025,Some text
17/04/2015,economic,1101233.458,Some text
22/04/2015,economic,4404178.164,Some text
27/04/2015,economic,2201635.682,Some text
28/04/2015,economic,1131681.912,Some text
30/04/2015,economic,2263130.745,Some text
1/05/2015,economic,1153809.352,Some text
4/05/2015,economic,1153730.123,Some text
5/05/2015,economic,1153650.894,Some text
6/05/2015,economic,2307064.102,Some text
7/05/2015,economic,5769202.5,Some text
8/05/2015,economic,2307907.063,Some text
13/05/2015,economic,1153834.588,Some text
19/05/2015,economic,2320872.721,Some text
20/05/2015,economic,1167037.209,Some text
21/05/2015,economic,2333833.758,Some text
22/05/2015,economic,2333512.88,Some text
26/05/2015,economic,1166636.11,Some text
27/05/2015,economic,1166555.89,Some text
28/05/2015,economic,1166475.67,Some text
29/05/2015,economic,1166395.451,Some text
3/06/2015,economic,2332550.242,Some text
4/06/2015,economic,2332229.363,Some text
5/06/2015,economic,2352045.361,Some text
10/06/2015,economic,2391351.348,Some text
11/06/2015,economic,1224226.846,Some text
12/06/2015,economic,2451780.394,Some text
16/06/2015,economic,12271730.71,Some text
17/06/2015,economic,1235068.981,Some text
18/06/2015,economic,1234983.91,Some text
19/06/2015,economic,1243995.925,Some text
22/06/2015,economic,1243910.227,Some text
23/06/2015,economic,1243824.528,Some text
24/06/2015,economic,2516519.198,Some text
25/06/2015,economic,1272692.662,Some text
26/06/2015,economic,1272604.957,Some text
28/06/2015,economic,1272517.251,Some text
29/06/2015,economic,3825870.644,Some text
30/06/2015,economic,5135304.528,Some text
1/07/2015,economic,2573016.072,Some text
2/07/2015,economic,2572661.186,Some text
3/07/2015,economic,1286197.511,Some text
6/07/2015,economic,2602070.019,Some text
7/07/2015,economic,2601711.001,Some text
10/07/2015,economic,1300720.869,Some text
13/07/2015,economic,3950290.54,Some text
14/07/2015,economic,1324692.563,Some text
15/07/2015,economic,1324601.129,Some text
17/07/2015,economic,1324509.695,Some text
20/07/2015,economic,2648745.089,Some text
21/07/2015,economic,1324235.394,Some text
22/07/2015,economic,1324143.96,Some text
23/07/2015,economic,1324052.526,Some text
25/07/2015,economic,1333771.391,Some text
27/07/2015,economic,1338584.09,Some text
28/07/2015,economic,1338491.639,Some text
3/08/2015,economic,4014920.217,Some text
5/08/2015,economic,1338121.839,Some text
6/08/2015,economic,4013810.817,Some text
10/08/2015,economic,2675411.628,Some text
11/08/2015,economic,1337567.139,Some text
12/08/2015,economic,1337474.689,Some text
14/08/2015,economic,1362080.288,Some text
18/08/2015,economic,2754094.395,Some text
20/08/2015,economic,1378892.504,Some text
24/08/2015,economic,4137868.889,Some text
25/08/2015,economic,1381229.556,Some text
26/08/2015,economic,2762172.53,Some text
27/08/2015,economic,1380942.974,Some text
28/08/2015,economic,2761599.366,Some text
29/08/2015,economic,1380656.392,Some text
31/08/2015,economic,1380560.865,Some text
1/09/2015,economic,2774493.612,Some text
3/09/2015,economic,2774109.612,Some text
4/09/2015,economic,2796481.786,Some text
7/09/2015,economic,4193996.772,Some text
8/09/2015,economic,2795513.91,Some text
10/09/2015,economic,2854483.93,Some text
14/09/2015,economic,1431825.831,Some text
15/09/2015,economic,2876555.588,Some text
16/09/2015,economic,4333886.274,Some text
18/09/2015,economic,1444428.588,Some text
22/09/2015,economic,2888556.919,Some text
24/09/2015,economic,1448864.681,Some text
25/09/2015,economic,1448764.267,Some text
28/09/2015,economic,5794052.936,Some text
30/09/2015,economic,1448262.2,Some text
1/10/2015,economic,1448161.787,Some text
2/10/2015,economic,1466014.346,Some text
6/10/2015,economic,4397433.089,Some text
7/10/2015,economic,1480148.078,Some text
8/10/2015,economic,2959988.155,Some text
10/10/2015,economic,1479840.077,Some text
12/10/2015,economic,6251002.788,Some text
13/10/2015,economic,4689456.423,Some text
14/10/2015,economic,3125761.822,Some text
16/10/2015,economic,1562718.173,Some text
20/10/2015,economic,3169313.664,Some text
21/10/2015,economic,3168873.558,Some text
22/10/2015,economic,1616247.567,Some text
23/10/2015,economic,3310193.623,Some text
26/10/2015,economic,1654924.376,Some text
27/10/2015,economic,1654809.419,Some text
30/10/2015,economic,3309273.965,Some text
1/11/2015,economic,1654464.547,Some text
2/11/2015,economic,3357332.529,Some text
3/11/2015,economic,1678491.288,Some text
4/11/2015,economic,3374123.931,Some text
5/11/2015,economic,1715904.097,Some text
6/11/2015,economic,5246800.633,Some text
9/11/2015,economic,3570539.786,Some text
10/11/2015,economic,1817475.447,Some text
11/11/2015,economic,5451668.007,Some text
12/11/2015,economic,1816969.891,Some text
16/11/2015,economic,3749355.197,Some text
17/11/2015,economic,1874481.973,Some text
18/11/2015,economic,1874351.556,Some text
19/11/2015,economic,3813907.983,Some text
20/11/2015,economic,1920080.318,Some text
25/11/2015,economic,1930946.583,Some text
27/11/2015,economic,1930812.19,Some text
30/11/2015,economic,1930677.798,Some text
1/12/2015,economic,1930543.406,Some text
3/12/2015,economic,5822936.264,Some text
8/12/2015,economic,1940708.48,Some text
11/12/2015,economic,1940573.342,Some text
14/12/2015,economic,3884298.185,Some text
17/12/2015,economic,1943724.595,Some text
18/12/2015,economic,1943589.21,Some text
21/12/2015,economic,1943453.824,Some text
22/12/2015,economic,3886501.493,Some text
3/01/2016,economic,1952345.84,Some text
4/01/2016,economic,7812883.463,Some text
7/01/2016,economic,3912915.167,Some text
8/01/2016,economic,1963462.632,Some text
