cat,year,month,sum,cumulative
urban,2015,1,27758267.28,27758267.28
urban,2015,2,43266034.98,71024302.26
urban,2015,3,62408826.62,133433128.9
urban,2015,4,44302636.18,177735765.1
urban,2015,5,78299993.21,256035758.3
urban,2015,6,162128857.2,418164615.5
urban,2015,7,107819592.4,525984207.9
urban,2015,8,125907319.4,651891527.3
urban,2015,9,150100559.1,801992086.4
urban,2015,10,164029579.1,966021665.5
urban,2015,11,159523806.1,1125545472
urban,2015,12,79368952.44,1204914424
urban,2016,1,98692232.35,1303606656
urban,2016,2,168553935.8,1472160592
urban,2016,3,169479883.2,1641640475
urban,2016,4,184634021.3,1826274497
urban,2016,5,364010324.2,2190284821
urban,2016,6,196721134.6,2387005955
urban,2016,7,209684180.9,2596690136
urban,2016,8,257254544.5,2853944681
urban,2016,9,199560442.4,3053505123
urban,2016,10,203839092.8,3257344216
urban,2016,11,238940349.1,3496284565
urban,2016,12,195804203,3692088768
urban,2017,1,168132765.4,3860221534
urban,2017,2,233066198.2,4093287732
urban,2017,3,302927473.7,4396215205
urban,2017,4,334945339.3,4731160545
urban,2017,5,438298267.7,5169458812
urban,2017,6,438931567.6,5608390380
urban,2017,7,373286075.3,5981676455
urban,2017,8,356180940,6337857395
urban,2017,9,248822013.1,6586679408
urban,2017,10,394052169.3,6980731578
urban,2017,11,399378031.7,7380109609
urban,2017,12,253609175.5,7633718785
urban,2018,1,271859077.1,7905577862
urban,2018,2,209710801.3,8115288663
urban,2018,3,368382952.3,8483671616
urban,2018,4,321157680.1,8804829296
urban,2018,5,326521439.6,9131350735
urban,2018,6,328667603.7,9460018339
urban,2018,7,197086957.3,9657105296
urban,2018,8,198032589.7,9855137886
urban,2018,9,183872077.1,10039009963
urban,2018,10,265639787.2,10304649750
urban,2018,11,207770595.5,10512420346
urban,2018,12,179426565.1,10691846911
urban,2019,1,167290192.1,10859137103
urban,2019,2,340135863,11199272966
urban,2019,3,291900771.1,11491173737
urban,2019,4,241546157.8,11732719895
urban,2019,5,157805981.6,11890525877
urban,2019,6,247203971.5,12137729848
urban,2019,7,194810884.5,12332540733
urban,2019,8,160557103.8,12493097836
urban,2019,9,143400239.6,12636498076
urban,2019,10,179473385.7,12815971462
urban,2019,11,143591692.6,12959563154
urban,2019,12,126349598.4,13085912753
urban,2020,1,54362443.61,13140275196
urban,2020,2,199975506.2,13340250702
urban,2020,3,223145166.2,13563395869
urban,2020,4,93456764.79,13656852633
urban,2020,5,225361336.8,13882213970
urban,2020,6,282717202,14164931172
urban,2020,7,247835978.1,14412767150
urban,2020,8,172432406.6,14585199557
urban,2020,9,230644443.6,14815844001
urban,2020,10,135682274.9,14951526275
